state,answer_set,facility_name,independent_preference_for_dem_rep,count,n_respondents,pct_of_respondents
AZ,all-surveys,"Pinal County Jail, AZ",Neither,14,24,0.5833333333333334
CA,all-surveys,"Stanislaus County, CA",The Democratic Party,14,70,0.2
CO,all-surveys,"Denver County Jail, CO",The Democratic Party,14,57,0.24561403508771928
CO,all-surveys,"Jefferson County Detention Facility, CO",Neither,14,31,0.45161290322580644
GA,all-surveys,"Bibb County Jail, GA",Neither,14,30,0.4666666666666667
MA,all-surveys,"Middlesex County House of Corrections, MA",Neither,14,33,0.42424242424242425
MI,all-surveys,"Macomb County, MI",Neither,14,28,0.5
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Neither,14,23,0.6086956521739131
PA,all-surveys,"Washington County, PA ",Neither,14,28,0.5
TX,all-surveys,"Collin County, TX ",Neither,14,29,0.4827586206896552
TX,all-surveys,"MTC: Giles Dalby, TX",The Republican Party,14,57,0.24561403508771928
VA,all-surveys,"Rappahannock Regional Jail, VA",The Republican Party,14,31,0.45161290322580644
VA,all-surveys,"Western Regional, VA",Neither,14,23,0.6086956521739131
CA,all-surveys,"Orange County, CA - Central Jail Complex",The Republican Party,13,40,0.325
CA,all-surveys,"San Joaquin County Jail, CA",Neither,13,29,0.4482758620689655
CO,all-surveys,"Denver County Jail, CO",The Republican Party,13,57,0.22807017543859648
CO,all-surveys,"Jefferson County Detention Facility, CO",The Republican Party,13,31,0.41935483870967744
CO,all-surveys,"Weld County, CO",The Democratic Party,13,61,0.21311475409836064
FL,all-surveys,"Sarasota County, FL",Neither,13,24,0.5416666666666666
MA,all-surveys,"Worcester County Jail, MA",Neither,13,27,0.48148148148148145
NJ,all-surveys,"Essex County Correctional Facility, NJ",Neither,13,27,0.48148148148148145
TX,all-surveys,"Potter County Detention, TX",Neither,13,28,0.4642857142857143
TX,all-surveys,"Travis County Jail, TX",The Democratic Party,13,80,0.1625
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Neither,13,28,0.4642857142857143
WV,all-surveys,WV DCR North Central Regional Jail,The Democratic Party,13,53,0.24528301886792453
CO,all-surveys,"Douglas Detention Center, CO",Neither,12,25,0.48
CO,all-surveys,"Pueblo County, CO",The Republican Party,12,39,0.3076923076923077
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",The Democratic Party,12,69,0.17391304347826086
FL,all-surveys,"Pinellas County Jail, FL",Neither,12,26,0.46153846153846156
IN,all-surveys,"Hamilton County Main Jail, IN",The Republican Party,12,42,0.2857142857142857
