state,answer_set,facility_name,trump_dictator_first_day_opinion,count,n_respondents,pct_of_respondents
OH,all-surveys,"Lorain County, OH ",Probably bad,7,23,0.30434782608695654
OH,all-surveys,"Portage County, OH",Definitely good,7,17,0.4117647058823529
OH,all-surveys,"Summit County, OH",Definitely bad,7,29,0.2413793103448276
PA,all-surveys,"Columbia County, PA",Definitely bad,7,16,0.4375
PA,all-surveys,"Delaware County, PA",Probably good,7,23,0.30434782608695654
PA,all-surveys,"Franklin County, PA",Definitely good,7,24,0.2916666666666667
TX,all-surveys,"Johnson County, TX",Definitely bad,7,36,0.19444444444444445
TX,all-surveys,"Potter County Detention, TX",Definitely good,7,47,0.14893617021276595
VA,all-surveys,"Arlington County Detention Center, VA",Definitely bad,7,27,0.25925925925925924
VA,all-surveys,"Arlington County Detention Center, VA",Probably good,7,27,0.25925925925925924
VA,all-surveys,"Pamunkey Regional Jail, VA",Definitely good,7,33,0.21212121212121213
WI,all-surveys,"Dodge County, WI",Definitely bad,7,25,0.28
WV,all-surveys,WV DCR Southern Regional Jail,Probably good,7,16,0.4375
WV,all-surveys,WV DCR Western Regional Jail,Probably bad,7,28,0.25
AL,all-surveys,"Riverside Regional, VA",Definitely good,6,23,0.2608695652173913
AL,all-surveys,"Riverside Regional, VA",Probably good,6,23,0.2608695652173913
AZ,all-surveys,"Pinal County Jail, AZ",Definitely bad,6,31,0.1935483870967742
AZ,all-surveys,"Yavapai County Jail, AZ",Definitely bad,6,21,0.2857142857142857
CA,all-surveys,"Alameda County-Santa Rita, CA",Probably bad,6,32,0.1875
CA,all-surveys,"Madera County, CA",Probably bad,6,42,0.14285714285714285
CO,all-surveys,"La Plata County, CO ",Probably good,6,13,0.46153846153846156
FL,all-surveys,"Escambia County Jail, FL",Definitely bad,6,30,0.2
FL,all-surveys,"Escambia County Jail, FL",Definitely good,6,30,0.2
FL,all-surveys,"Sarasota County, FL",Probably bad,6,45,0.13333333333333333
GA,all-surveys,"Catoosa County Jail, GA",Probably good,6,13,0.46153846153846156
GA,all-surveys,"Cobb County, GA",Probably bad,6,29,0.20689655172413793
GA,all-surveys,"Columbia County Detention Center, GA",Probably bad,6,20,0.3
GA,all-surveys,"Forsyth County Detention Center, GA",Definitely good,6,15,0.4
IA,all-surveys,"Polk County, IA ",Definitely good,6,29,0.20689655172413793
IL,all-surveys,"Kane County, IL",Probably bad,6,34,0.17647058823529413
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Probably bad,6,23,0.2608695652173913
KY,all-surveys,"Madison County, KY",Definitely good,6,18,0.3333333333333333
MA,all-surveys,"Berkshire County House of Corrections, MA",Definitely bad,6,16,0.375
MA,all-surveys,"Hampshire County, MA",Probably good,6,13,0.46153846153846156
MD,all-surveys,"Anne Arundel County, MD",Definitely bad,6,13,0.46153846153846156
ME,all-surveys,"Two Bridges Regional, ME",Definitely good,6,17,0.35294117647058826
MI,all-surveys,"Genesee County, MI",Definitely bad,6,19,0.3157894736842105
MI,all-surveys,"Genesee County, MI",Probably bad,6,19,0.3157894736842105
MN,all-surveys,"Olmstead County Adult Detention Center, MN",Probably good,6,6,1
NC,all-surveys,Durham County NC - Detention Facility,Definitely bad,6,18,0.3333333333333333
NH,all-surveys,"Hillsborough County House of Corrections, NH",Probably bad,6,16,0.375
NJ,all-surveys,"Bergen County, NJ",Definitely good,6,31,0.1935483870967742
NJ,all-surveys,"Bergen County, NJ",Probably bad,6,31,0.1935483870967742
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Probably good,6,20,0.3
NJ,all-surveys,"Hudson County Corrections Center, NJ",Probably good,6,16,0.375
NJ,all-surveys,"Mercer County Correction Center, NJ",Definitely bad,6,9,0.6666666666666666
NJ,all-surveys,"Ocean County, NJ",Probably good,6,16,0.375
NY,all-surveys,"Chautauqua County, NY",Probably good,6,24,0.25
NY,all-surveys,"Delaware County Correctional Facility, NY",Probably good,6,11,0.5454545454545454
NY,all-surveys,"Onondaga County-Justice Center, NY",Definitely good,6,23,0.2608695652173913
NY,all-surveys,"Saratoga County Correctional Facility, NY",Probably good,6,11,0.5454545454545454
NY,all-surveys,"Ulster County Jail, NY",Definitely bad,6,16,0.375
OH,all-surveys,"Greene County, OH: Adult Detention",Probably good,6,17,0.35294117647058826
OH,all-surveys,"Lorain County, OH ",Definitely bad,6,23,0.2608695652173913
PA,all-surveys,"Allegheny County Jail, PA",Definitely bad,6,14,0.42857142857142855
PA,all-surveys,"Allegheny County Jail, PA",Probably good,6,14,0.42857142857142855
PA,all-surveys,"Lebanon County, PA",Probably bad,6,44,0.13636363636363635
SC,all-surveys,"Aiken County, SC",Probably good,6,14,0.42857142857142855
TX,all-surveys,"Guadalupe County, TX",Definitely bad,6,46,0.13043478260869565
TX,all-surveys,"Guadalupe County, TX",Probably bad,6,46,0.13043478260869565
TX,all-surveys,"Wichita County, TX ",Definitely bad,6,26,0.23076923076923078
TX,all-surveys,"Wichita County, TX ",Probably bad,6,26,0.23076923076923078
UT,all-surveys,"Iron County, UT",Definitely good,6,14,0.42857142857142855
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Probably good,6,9,0.6666666666666666
VA,all-surveys,"Pamunkey Regional Jail, VA",Definitely bad,6,33,0.18181818181818182
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Definitely good,6,40,0.15
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Probably bad,6,40,0.15
WI,all-surveys,"Dodge County, WI",Probably bad,6,25,0.24
WI,all-surveys,"Winnebago County, WI",Definitely bad,6,10,0.6
WV,all-surveys,WV DCR South Central Regional Jail,Definitely bad,6,24,0.25
