state,answer_set,facility_name,trump_dictator_first_day_opinion,count,n_respondents,pct_of_respondents
TX,all-surveys,"MTC: Giles Dalby, TX",Probably bad,21,87,0.2413793103448276
CA,all-surveys,"San Joaquin County Jail, CA",Definitely bad,20,71,0.28169014084507044
CA,all-surveys,"Ventura County Sheriff's Office, CA",Probably good,20,68,0.29411764705882354
CO,all-surveys,"Pueblo County, CO",Probably bad,20,60,0.3333333333333333
CO,all-surveys,"Weld County, CO",Probably bad,20,85,0.23529411764705882
IL,all-surveys,"Winnebago County, IL",Definitely good,20,92,0.21739130434782608
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Definitely good,20,77,0.2597402597402597
CA,all-surveys,"Alameda County-Santa Rita, CA",Definitely bad,19,32,0.59375
FL,all-surveys,"Sarasota County, FL",Probably good,19,45,0.4222222222222222
MA,all-surveys,"Suffolk County Jail, MA",Definitely bad,19,60,0.31666666666666665
MI,all-surveys,"Kent County, MI ",Probably good,19,64,0.296875
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Probably good,19,62,0.3064516129032258
PA,all-surveys,"Montgomery County Correctional Facility, PA",Probably good,19,52,0.36538461538461536
CO,all-surveys,"Mesa County, CO",Probably good,18,55,0.32727272727272727
CO,all-surveys,"Weld County, CO",Definitely good,18,85,0.21176470588235294
OH,all-surveys,"Mahoning County Justice Center, OH",Definitely bad,18,74,0.24324324324324326
PA,all-surveys,"Dauphin County Jail, PA",Definitely bad,18,80,0.225
PA,all-surveys,"Lebanon County, PA",Definitely bad,18,44,0.4090909090909091
PA,all-surveys,"Lehigh County, PA",Probably good,18,53,0.33962264150943394
TX,all-surveys,"Guadalupe County, TX",Definitely good,18,46,0.391304347826087
TX,all-surveys,"Johnson County, TX",Probably good,18,36,0.5
TX,all-surveys,"MTC: Giles Dalby, TX",Definitely good,18,87,0.20689655172413793
TX,all-surveys,"McLennan County, TX",Probably good,18,50,0.36
WA,all-surveys,"Yakima County, WA",Definitely good,18,79,0.22784810126582278
CA,all-surveys,"Orange County, CA - Central Jail Complex",Definitely bad,17,64,0.265625
CO,all-surveys,"Pueblo County, CO",Probably good,17,60,0.2833333333333333
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Probably bad,17,69,0.2463768115942029
MA,all-surveys,"Bristol County House of Correction, MA",Probably good,17,46,0.3695652173913043
MA,all-surveys,"Essex County Middleton HOC, MA",Probably bad,17,56,0.30357142857142855
MA,all-surveys,"Essex County Middleton HOC, MA",Probably good,17,56,0.30357142857142855
MA,all-surveys,"Middlesex County House of Corrections, MA",Probably good,17,50,0.34
MA,all-surveys,"Suffolk County Jail, MA",Probably good,17,60,0.2833333333333333
MI,all-surveys,"Kent County, MI ",Definitely good,17,64,0.265625
PA,all-surveys,"Dauphin County Jail, PA",Definitely good,17,80,0.2125
PA,all-surveys,"Lackawana County, PA",Definitely good,17,80,0.2125
VA,all-surveys,"Chesapeake Correctional Center, VA",Definitely good,17,61,0.2786885245901639
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Probably good,17,40,0.425
WA,all-surveys,"Spokane County Jail, WA",Probably good,17,67,0.2537313432835821
CA,all-surveys,"Madera County, CA",Probably good,16,42,0.38095238095238093
CA,all-surveys,"Santa Barbara County, CA",Definitely bad,16,50,0.32
CA,all-surveys,"Ventura County Sheriff's Office, CA",Definitely bad,16,68,0.23529411764705882
CO,all-surveys,"Denver County Jail, CO",Probably bad,16,88,0.18181818181818182
CO,all-surveys,"Jefferson County Detention Facility, CO",Definitely good,16,42,0.38095238095238093
GA,all-surveys,"Athens Clarke County Jail, GA",Probably good,16,46,0.34782608695652173
MA,all-surveys,"Worcester County Jail, MA",Probably good,16,47,0.3404255319148936
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Probably bad,16,62,0.25806451612903225
OH,all-surveys,"Mahoning County Justice Center, OH",Probably bad,16,74,0.21621621621621623
PA,all-surveys,"Dauphin County Jail, PA",Probably bad,16,80,0.2
PA,all-surveys,"Lackawana County, PA",Probably bad,16,80,0.2
PA,all-surveys,"Montgomery County Correctional Facility, PA",Probably bad,16,52,0.3076923076923077
VA,all-surveys,"Chesapeake Correctional Center, VA",Probably good,16,61,0.26229508196721313
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Probably bad,16,77,0.2077922077922078
WV,all-surveys,WV DCR North Central Regional Jail,Definitely good,16,69,0.2318840579710145
WV,all-surveys,WV DCR North Central Regional Jail,Probably bad,16,69,0.2318840579710145
CA,all-surveys,"San Joaquin County Jail, CA",Definitely good,15,71,0.2112676056338028
CA,all-surveys,"Santa Barbara County, CA",Probably good,15,50,0.3
CA,all-surveys,"Ventura County Sheriff's Office, CA",Definitely good,15,68,0.22058823529411764
CA,all-surveys,"Ventura County Sheriff's Office, CA",Probably bad,15,68,0.22058823529411764
CO,all-surveys,"Pueblo County, CO",Definitely bad,15,60,0.25
GA,all-surveys,"Bibb County Jail, GA",Probably good,15,38,0.39473684210526316
IL,all-surveys,"Winnebago County, IL",Definitely bad,15,92,0.16304347826086957
MI,all-surveys,"Kent County, MI ",Probably bad,15,64,0.234375
MI,all-surveys,"Macomb County, MI",Probably bad,15,50,0.3
MI,all-surveys,"Macomb County, MI",Probably good,15,50,0.3
MO,all-surveys,"Cape Girardeau County Jail, MO",Probably bad,15,44,0.3409090909090909
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Definitely bad,15,62,0.24193548387096775
NY,all-surveys,"Niagara County Correctional Facility, NY",Probably good,15,37,0.40540540540540543
OH,all-surveys,"Muskingum County, OH",Probably good,15,22,0.6818181818181818
PA,all-surveys,"Berks County Jail, PA",Definitely bad,15,47,0.3191489361702128
PA,all-surveys,"Lehigh County, PA",Probably bad,15,53,0.2830188679245283
TX,all-surveys,"Collin County, TX ",Probably good,15,49,0.30612244897959184
TX,all-surveys,"Guadalupe County, TX",Probably good,15,46,0.32608695652173914
UT,all-surveys,"Salt Lake City County, UT",Definitely bad,15,47,0.3191489361702128
WA,all-surveys,"Yakima County, WA",Probably bad,15,79,0.189873417721519
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Probably good,15,36,0.4166666666666667
CA,all-surveys,"Orange County, CA - Theo Lacy",Definitely good,14,88,0.1590909090909091
CO,all-surveys,"Douglas Detention Center, CO",Probably good,14,32,0.4375
CO,all-surveys,"Jefferson County Detention Facility, CO",Probably good,14,42,0.3333333333333333
GA,all-surveys,"Athens Clarke County Jail, GA",Definitely good,14,46,0.30434782608695654
MI,all-surveys,"Livingston County, MI",Probably good,14,24,0.5833333333333334
MO,all-surveys,"Cape Girardeau County Jail, MO",Probably good,14,44,0.3181818181818182
MO,all-surveys,"St. Louis County Jail, MO",Definitely bad,14,65,0.2153846153846154
NJ,all-surveys,"Bergen County, NJ",Probably good,14,31,0.45161290322580644
NY,all-surveys,"Albany County Correctional Facility, NY",Definitely bad,14,70,0.2
NY,all-surveys,"Suffolk County, NY ",Definitely bad,14,44,0.3181818181818182
NY,all-surveys,"Suffolk County, NY ",Probably good,14,44,0.3181818181818182
PA,all-surveys,"Washington County, PA ",Definitely good,14,44,0.3181818181818182
PA,all-surveys,"Westmoreland County, PA",Definitely good,14,55,0.2545454545454545
TX,all-surveys,"Potter County Detention, TX",Probably good,14,47,0.2978723404255319
VA,all-surveys,"Chesapeake Correctional Center, VA",Probably bad,14,61,0.22950819672131148
