state,answer_set,facility_name,race,count,n_respondents,pct_of_respondents
VA,all-surveys,"Middle Peninsula Regional Jail, VA",White,10,16,0.625
VA,all-surveys,"Southside Regional Jail, VA",Black or African American,10,11,0.9090909090909091
WA,all-surveys,"Whatcom County, WA - Main Jail",Native American / American Indian,10,48,0.20833333333333334
WI,all-surveys,"Rock County, WI",Black or African American,10,37,0.2702702702702703
WI,all-surveys,"Winnebago County, WI",White,10,14,0.7142857142857143
AZ,all-surveys,"Apache County Jail, AZ",White,9,23,0.391304347826087
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Black or African American, Hispanic or Latino",9,873,0.010309278350515464
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Black or African American, Native American / American Indian",9,873,0.010309278350515464
CA,all-surveys,"Orange County, CA - Central Jail Complex",Black or African American,9,104,0.08653846153846154
CA,all-surveys,"Santa Clara County, CA",Asian American,9,352,0.02556818181818182
CA,all-surveys,"Santa Clara County, CA",Native American / American Indian,9,352,0.02556818181818182
CA,all-surveys,"Santa Clara County, CA",Native Hawaiian or Pacific Islander,9,352,0.02556818181818182
CA,all-surveys,"Sonoma County, CA",Hispanic or Latino,9,42,0.21428571428571427
CA,all-surveys,"Tehama County, CA",White,9,20,0.45
CO,all-surveys,"Denver County Jail, CO",Other,9,148,0.060810810810810814
CO,all-surveys,"Pueblo County, CO",Other,9,93,0.0967741935483871
FL,all-surveys,"Pinellas County Jail, FL",Other,9,89,0.10112359550561797
FL,all-surveys,"Walton County Jail, FL",White,9,13,0.6923076923076923
GA,all-surveys,"Cobb County, GA",Hispanic or Latino,9,58,0.15517241379310345
GA,all-surveys,"Forsyth County Detention Center, GA",White,9,21,0.42857142857142855
GA,all-surveys,"Thomas County Detention, GA",Black or African American,9,20,0.45
IN,all-surveys,"La Port County Jail, IN",Black or African American,9,38,0.23684210526315788
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Black or African American,9,25,0.36
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",White,9,25,0.36
MA,all-surveys,"Bristol County House of Correction, MA",Black or African American,9,58,0.15517241379310345
MA,all-surveys,"Bristol County House of Correction, MA",Hispanic or Latino,9,58,0.15517241379310345
MD,all-surveys,"Anne Arundel County, MD",White,9,21,0.42857142857142855
MD,all-surveys,"Prince Georges County DOC, MD",Black or African American,9,16,0.5625
ME,all-surveys,"Cumberland County Jail, ME",White,9,16,0.5625
MI,all-surveys,"Genesee County, MI",White,9,35,0.2571428571428571
MI,all-surveys,"Kent County, MI ",Other,9,100,0.09
MI,all-surveys,"Washtenaw County Jail, MI",Black or African American,9,24,0.375
NC,all-surveys,"Craven County Jail, NC",White,9,33,0.2727272727272727
NC,all-surveys,"Onslow County Jail, NC",White,9,33,0.2727272727272727
NE,all-surveys,"Sarpy County Jail, NE",White,9,13,0.6923076923076923
NJ,all-surveys,"Camden County Department of Corrections, NJ",Black or African American,9,24,0.375
NJ,all-surveys,"Essex County Correctional Facility, NJ",Hispanic or Latino,9,68,0.1323529411764706
NM,all-surveys,"Eddy County Detention Center, NM",White,9,30,0.3
NY,all-surveys,"Oneida County Correctional Facility, NY",White,9,21,0.42857142857142855
OH,all-surveys,"Columbiana County Jail, OH",White,9,16,0.5625
PA,all-surveys,"Chester County Prison, PA",Black or African American,9,32,0.28125
PA,all-surveys,"Delaware County, PA",White,9,37,0.24324324324324326
PA,all-surveys,"Lackawana County, PA",Hispanic or Latino,9,115,0.0782608695652174
TN,all-surveys,"Rhea County Jail, TN",White,9,13,0.6923076923076923
TX,all-surveys,"Travis County Jail, TX",Other,9,204,0.04411764705882353
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",White,9,16,0.5625
AZ,all-surveys,"Pima County Jail, AZ","Hispanic or Latino, White",8,209,0.03827751196172249
AZ,all-surveys,"Pima County Jail, AZ",Other,8,209,0.03827751196172249
CA,all-surveys,"Madera County, CA",Native American / American Indian,8,90,0.08888888888888889
CA,all-surveys,"Sonoma County, CA",Native American / American Indian,8,42,0.19047619047619047
CA,all-surveys,"Yuba County, CA ",White,8,18,0.4444444444444444
CO,all-surveys,"Mesa County, CO",Other,8,94,0.0851063829787234
CO,all-surveys,"Weld County, CO","Hispanic or Latino, Native American / American Indian",8,133,0.06015037593984962
FL,all-surveys,"Bay County, FL",Black or African American,8,35,0.22857142857142856
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Other,8,109,0.07339449541284404
IL,all-surveys,"DuPage County Jail, IL",White,8,29,0.27586206896551724
IL,all-surveys,"Kane County, IL",White,8,65,0.12307692307692308
IL,all-surveys,"Winnebago County, IL",Other,8,153,0.05228758169934641
IN,all-surveys,"Elkhart County Jail, IN",Black or African American,8,59,0.13559322033898305
IN,all-surveys,"Hamilton County Main Jail, IN",Hispanic or Latino,8,97,0.08247422680412371
KS,all-surveys,"Douglas County, KS",Black or African American,8,34,0.23529411764705882
KS,all-surveys,"Shawnee County Detention Center, KS",Black or African American,8,37,0.21621621621621623
MA,all-surveys,"Berkshire County House of Corrections, MA",White,8,24,0.3333333333333333
MD,all-surveys,"Dorchester County Detention Center, MD",Black or African American,8,8,1
MO,all-surveys,"Marion County, MO ",White,8,11,0.7272727272727273
MT,all-surveys,"Missoula County, MT",White,8,23,0.34782608695652173
NC,all-surveys,"Cumberland County, NC",Other,8,82,0.0975609756097561
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Hispanic or Latino,8,91,0.08791208791208792
NC,all-surveys,"Stanly County Jail, NC",White,8,15,0.5333333333333333
NE,all-surveys,"Scotts Bluff County Detention Center, NE",White,8,30,0.26666666666666666
NJ,all-surveys,"Bergen County, NJ",White,8,51,0.1568627450980392
NJ,all-surveys,"Cumberland County Jail, NJ",Black or African American,8,24,0.3333333333333333
NY,all-surveys,"Cayuga County, NY",White,8,12,0.6666666666666666
NY,all-surveys,"Chautauqua County, NY",Hispanic or Latino,8,38,0.21052631578947367
NY,all-surveys,"Monroe County Sheriff's Department, NY",Other,8,84,0.09523809523809523
NY,all-surveys,"Ulster County Jail, NY",White,8,19,0.42105263157894735
OH,all-surveys,Corrections Center of NW Ohio,Black or African American,8,45,0.17777777777777778
PA,all-surveys,"Bucks County Correctional Facility, PA",White,8,23,0.34782608695652173
PA,all-surveys,"Cambria County Prison, PA",Black or African American,8,42,0.19047619047619047
PA,all-surveys,"Centre County Correctional Facility, PA",White,8,10,0.8
PA,all-surveys,"Dauphin County Jail, PA","Black or African American, Other",8,118,0.06779661016949153
PA,all-surveys,"Indiana County, PA",White,8,20,0.4
PA,all-surveys,"Lebanon County, PA",Black or African American,8,66,0.12121212121212122
PA,all-surveys,"Northampton County Prison, PA",White,8,19,0.42105263157894735
TX,all-surveys,"Guadalupe County, TX",Black or African American,8,75,0.10666666666666667
TX,all-surveys,"MTC: Giles Dalby, TX",Other,8,132,0.06060606060606061
VA,all-surveys,"Arlington County Detention Center, VA",Hispanic or Latino,8,34,0.23529411764705882
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Other,8,109,0.07339449541284404
WI,all-surveys,"La Crosse County Jail, WI",White,8,12,0.6666666666666666
AL,all-surveys,"Riverside Regional, VA",Black or African American,7,34,0.20588235294117646
AZ,all-surveys,"Pinal County Jail, AZ",Black or African American,7,51,0.13725490196078433
CA,all-surveys,"Madera County, CA",Black or African American,7,90,0.07777777777777778
CA,all-surveys,"Madera County, CA",Other,7,90,0.07777777777777778
CA,all-surveys,"Nevada County, CA",White,7,12,0.5833333333333334
CA,all-surveys,"Orange County, CA - Theo Lacy","Hispanic or Latino, White",7,134,0.05223880597014925
CA,all-surveys,"Sacramento County Sheriff's Office, CA","Black or African American, Other",7,302,0.023178807947019868
CA,all-surveys,"Santa Barbara County, CA","Hispanic or Latino, White",7,74,0.0945945945945946
CA,all-surveys,"Stanislaus County, CA",Native American / American Indian,7,171,0.04093567251461988
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",White,7,17,0.4117647058823529
CO,all-surveys,"Denver County Jail, CO",Native American / American Indian,7,148,0.0472972972972973
CO,all-surveys,"Douglas Detention Center, CO",Black or African American,7,43,0.16279069767441862
CO,all-surveys,"Mesa County, CO",Native American / American Indian,7,94,0.07446808510638298
CO,all-surveys,"Mesa County, CO","Native American / American Indian, White",7,94,0.07446808510638298
CO,all-surveys,"Pueblo County, CO","Hispanic or Latino, Native American / American Indian",7,93,0.07526881720430108
DC,all-surveys,DC DOC: Central Detention Facility,Other,7,81,0.08641975308641975
FL,all-surveys,"Monroe County-Key West, FL",Hispanic or Latino,7,26,0.2692307692307692
FL,all-surveys,"Pinellas County Jail, FL",Hispanic or Latino,7,89,0.07865168539325842
GA,all-surveys,"Thomas County Detention, GA",White,7,20,0.35
IA,all-surveys,"Dubuque County, IA ",White,7,14,0.5
IL,all-surveys,"Cook County, IL","Asian American, Black or African American, Hispanic or Latino, Middle Eastern or Arab, Native American / American Indian, Native Hawaiian or Pacific Islander, Other, White",7,566,0.012367491166077738
IL,all-surveys,"DuPage County Jail, IL",Hispanic or Latino,7,29,0.2413793103448276
IL,all-surveys,Edovo Go - General,White,7,15,0.4666666666666667
IL,all-surveys,"Madison County, IL",Black or African American,7,20,0.35
IL,all-surveys,"Vermilion County Jail, IL",White,7,19,0.3684210526315789
IL,all-surveys,"Winnebago County, IL","Black or African American, Other",7,153,0.0457516339869281
MA,all-surveys,"Berkshire County House of Corrections, MA",Black or African American,7,24,0.2916666666666667
MD,all-surveys,"Anne Arundel County, MD",Black or African American,7,21,0.3333333333333333
ME,all-surveys,"Kennebec County Jail, ME",White,7,9,0.7777777777777778
ME,all-surveys,"Somerset County Jail, ME",White,7,10,0.7
MI,all-surveys,"Kalamazoo County, MI",White,7,24,0.2916666666666667
MI,all-surveys,"Kent County, MI ",Hispanic or Latino,7,100,0.07
MI,all-surveys,"Monroe County Correctional System, MI",White,7,13,0.5384615384615384
NC,all-surveys,"Brunswick County Jail, NC",White,7,12,0.5833333333333334
NE,all-surveys,"Lancaster County, NE",Native American / American Indian,7,76,0.09210526315789473
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Hispanic or Latino,7,30,0.23333333333333334
NH,all-surveys,"Hillsborough County House of Corrections, NH",Black or African American,7,23,0.30434782608695654
NH,all-surveys,"Hillsborough County House of Corrections, NH",White,7,23,0.30434782608695654
NJ,all-surveys,"Mercer County Correction Center, NJ",Black or African American,7,16,0.4375
NM,all-surveys,"Chaves County Adult Detention Center, NM",White,7,34,0.20588235294117646
NM,all-surveys,"Curry County Detention Center, NM",White,7,29,0.2413793103448276
NM,all-surveys,"Lea County Sheriff's Office, NM",Black or African American,7,35,0.2
NM,all-surveys,"Lea County Sheriff's Office, NM",White,7,35,0.2
NY,all-surveys,"Albany County Correctional Facility, NY",Hispanic or Latino,7,87,0.08045977011494253
NY,all-surveys,"Broome County Public Safety Facility, NY",White,7,20,0.35
NY,all-surveys,"Herkimer County Correctional Facility, NY",White,7,8,0.875
OH,all-surveys,"Ashland County, OH ",Black or African American,7,17,0.4117647058823529
OH,all-surveys,"Cuyahoga County Justice Center, OH","Black or African American, Native American / American Indian",7,235,0.029787234042553193
PA,all-surveys,"Franklin County, PA",Black or African American,7,34,0.20588235294117646
PA,all-surveys,"Lackawana County, PA",Other,7,115,0.06086956521739131
PA,all-surveys,"Lancaster County Prison, PA",Black or African American,7,59,0.11864406779661017
PA,all-surveys,"Montgomery County Correctional Facility, PA",Other,7,92,0.07608695652173914
TN,all-surveys,"Davidson County Detention Center, TN",Other,7,119,0.058823529411764705
TX,all-surveys,"Uvalde County, TX",Hispanic or Latino,7,11,0.6363636363636364
UT,all-surveys,"Beaver County, UT",Hispanic or Latino,7,40,0.175
UT,all-surveys,"Salt Lake City County, UT",Hispanic or Latino,7,68,0.10294117647058823
UT,all-surveys,"Sanpete County Jail, UT",White,7,9,0.7777777777777778
UT,all-surveys,"Weber County Correctional Facility, UT",White,7,21,0.3333333333333333
VA,all-surveys,"Norfolk City Jail, VA",Black or African American,7,17,0.4117647058823529
VA,all-surveys,"Western Regional, VA",Black or African American,7,52,0.1346153846153846
WA,all-surveys,"King County Adult Detention, WA",Other,7,62,0.11290322580645161
WA,all-surveys,"Whatcom County, WA - Main Jail",Hispanic or Latino,7,48,0.14583333333333334
WI,all-surveys,"Brown County Jail, WI",Other,7,73,0.0958904109589041
AZ,all-surveys,"Apache County Jail, AZ",Native American / American Indian,6,23,0.2608695652173913
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Black or African American, Hispanic or Latino, Native American / American Indian",6,873,0.006872852233676976
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Other, White",6,873,0.006872852233676976
CA,all-surveys,"Butte County, CA","Native American / American Indian, White",6,55,0.10909090909090909
CA,all-surveys,"Butte County, CA",Other,6,55,0.10909090909090909
CA,all-surveys,"Fresno County, CA","Black or African American, Other",6,224,0.026785714285714284
CA,all-surveys,"Madera County, CA","Native American / American Indian, White",6,90,0.06666666666666667
CA,all-surveys,"Orange County, CA - Theo Lacy","Hispanic or Latino, Other",6,134,0.04477611940298507
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Asian American,6,302,0.019867549668874173
CA,all-surveys,"Sacramento County Sheriff's Office, CA",Native American / American Indian,6,302,0.019867549668874173
CA,all-surveys,"Santa Clara County, CA","Hispanic or Latino, Other, White",6,352,0.017045454545454544
CA,all-surveys,"Tulare County, CA-Bob Wiley Detention ",Hispanic or Latino,6,12,0.5
CA,all-surveys,"Ventura County Sheriff's Office, CA",Black or African American,6,99,0.06060606060606061
CO,all-surveys,"Denver County Jail, CO","Hispanic or Latino, Native American / American Indian",6,148,0.04054054054054054
CO,all-surveys,"Jefferson County Detention Facility, CO",Other,6,76,0.07894736842105263
CO,all-surveys,"La Plata County, CO ",Native American / American Indian,6,18,0.3333333333333333
CO,all-surveys,"Pueblo County, CO",Black or African American,6,93,0.06451612903225806
FL,all-surveys,"Hardee County Jail, FL",White,6,10,0.6
FL,all-surveys,"Lake County Detention Center, FL",Black or African American,6,28,0.21428571428571427
FL,all-surveys,"St. Lucie County Jail, FL",Black or African American,6,27,0.2222222222222222
GA,all-surveys,"Hall County Jail, GA",White,6,11,0.5454545454545454
IL,all-surveys,"Cook County, IL","Black or African American, Native American / American Indian, Other",6,566,0.01060070671378092
IL,all-surveys,"Kane County, IL",Other,6,65,0.09230769230769231
IL,all-surveys,"Madison County, IL",White,6,20,0.3
IL,all-surveys,"Vermilion County Jail, IL",Black or African American,6,19,0.3157894736842105
IL,all-surveys,"Winnebago County, IL",Hispanic or Latino,6,153,0.0392156862745098
IL,all-surveys,"Winnebago County, IL","Other, White",6,153,0.0392156862745098
IN,all-surveys,"Elkhart County Jail, IN",Other,6,59,0.1016949152542373
IN,all-surveys,"Montgomery County, IN",White,6,8,0.75
MA,all-surveys,"Franklin County Jail, MA",White,6,14,0.42857142857142855
MA,all-surveys,"Norfolk County Jail, MA",Black or African American,6,31,0.1935483870967742
MA,all-surveys,"Suffolk County Jail, MA",Other,6,71,0.08450704225352113
MA,all-surveys,"Worcester County Jail, MA",Black or African American,6,58,0.10344827586206896
MA,all-surveys,"Worcester County Jail, MA",Other,6,58,0.10344827586206896
ME,all-surveys,"York County Jail, ME",White,6,8,0.75
MI,all-surveys,"Kalamazoo County, MI",Black or African American,6,24,0.25
MI,all-surveys,"Muskegon County Jail, MI",Black or African American,6,17,0.35294117647058826
MI,all-surveys,"Washtenaw County Jail, MI",White,6,24,0.25
MO,all-surveys,"Cape Girardeau County Jail, MO",Other,6,69,0.08695652173913043
MT,all-surveys,"Dawson County, MT",White,6,8,0.75
NC,all-surveys,"Craven County Jail, NC",Other,6,33,0.18181818181818182
NC,all-surveys,"New Hanover County Detention Center, NC",White,6,24,0.25
NE,all-surveys,"Lancaster County, NE",Hispanic or Latino,6,76,0.07894736842105263
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Native American / American Indian,6,30,0.2
NJ,all-surveys,Middlesex County NJ: Adult Correctional,Hispanic or Latino,6,16,0.375
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",White,6,37,0.16216216216216217
NV,all-surveys,"Elko County, NV",White,6,11,0.5454545454545454
NY,all-surveys,"Albany County Correctional Facility, NY",Other,6,87,0.06896551724137931
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Other,6,70,0.08571428571428572
NY,all-surveys,"Pasco County Corrections, FL","Hispanic or Latino, White",6,146,0.0410958904109589
NY,all-surveys,"Pasco County Corrections, FL",Other,6,146,0.0410958904109589
PA,all-surveys,"Dauphin County Jail, PA","Black or African American, White",6,118,0.05084745762711865
PA,all-surveys,"Huntingdon County Prison, PA",White,6,7,0.8571428571428571
PA,all-surveys,"Lycoming County, PA",Black or African American,6,14,0.42857142857142855
PA,all-surveys,"Northumberland County, PA",White,6,12,0.5
TN,all-surveys,"Johnson County Jail, TN",White,6,8,0.75
TX,all-surveys,"Collin County, TX ",Hispanic or Latino,6,69,0.08695652173913043
TX,all-surveys,"Johnson County, TX",Black or African American,6,50,0.12
TX,all-surveys,"Potter County Detention, TX","Hispanic or Latino, White",6,78,0.07692307692307693
TX,all-surveys,"Travis County Jail, TX",Native American / American Indian,6,204,0.029411764705882353
UT,all-surveys,"Uintah County Jail, UT",White,6,8,0.75
UT,all-surveys,"Utah County Jail, UT",White,6,7,0.8571428571428571
VA,all-surveys,"Piedmont Regional Security Center, VA",White,6,11,0.5454545454545454
WA,all-surveys,"Spokane County Jail, WA",Other,6,82,0.07317073170731707
WI,all-surveys,"Brown County Jail, WI",Hispanic or Latino,6,73,0.0821917808219178
WV,all-surveys,WV DCR Southwestern Regional Jail,Black or African American,6,47,0.1276595744680851
