state,answer_set,facility_name,likely_to_vote_in_november_election,count,n_respondents,pct_of_respondents
AL,all-surveys,"Etowah County Jail, AL",Definitely will vote,7,32,0.21875
CA,all-surveys,"Santa Barbara County, CA",Definitely will not vote,7,51,0.13725490196078433
CO,all-surveys,"Larimer County, CO",Probably will not vote,7,27,0.25925925925925924
CO,all-surveys,"Larimer County, CO",Probably will vote,7,27,0.25925925925925924
CO,all-surveys,"Mesa County, CO",Probably will not vote,7,60,0.11666666666666667
FL,all-surveys,"Lee County, FL",Probably will vote,7,36,0.19444444444444445
FL,all-surveys,Santa Rosa County FL,Probably will vote,7,41,0.17073170731707318
FL,all-surveys,"Sarasota County, FL",Definitely will vote,7,46,0.15217391304347827
GA,all-surveys,"Catoosa County Jail, GA",Definitely will not vote,7,15,0.4666666666666667
GA,all-surveys,"Cobb County, GA",Definitely will vote,7,33,0.21212121212121213
GA,all-surveys,"Cobb County, GA",Probably will vote,7,33,0.21212121212121213
GA,all-surveys,"Columbia County Detention Center, GA",Probably will vote,7,21,0.3333333333333333
GA,all-surveys,"Thomas County Detention, GA",Probably will not vote,7,17,0.4117647058823529
IL,all-surveys,Edovo Go - General,Probably will not vote,7,13,0.5384615384615384
IN,all-surveys,"Boone County, IN",Definitely will vote,7,23,0.30434782608695654
IN,all-surveys,"Boone County, IN",Probably will vote,7,23,0.30434782608695654
KY,all-surveys,"Madison County, KY",Probably will not vote,7,18,0.3888888888888889
KY,all-surveys,"Pulaski County, KY",Definitely will not vote,7,11,0.6363636363636364
MA,all-surveys,"Barnstable County Correctional Facility, MA",Probably will not vote,7,23,0.30434782608695654
MA,all-surveys,"Plymouth County Correctional Facility, MA",Probably will vote,7,32,0.21875
MI,all-surveys,"Kalamazoo County, MI",Probably will not vote,7,20,0.35
MI,all-surveys,"Kent County, MI ",Definitely will not vote,7,72,0.09722222222222222
MO,all-surveys,"Cape Girardeau County Jail, MO",Definitely will vote,7,48,0.14583333333333334
NE,all-surveys,"Lancaster County, NE",Definitely will vote,7,38,0.18421052631578946
NJ,all-surveys,"Bergen County, NJ",Definitely will vote,7,34,0.20588235294117646
NY,all-surveys,"Erie County, NY",Probably will vote,7,46,0.15217391304347827
NY,all-surveys,"Niagara County Correctional Facility, NY",Definitely will vote,7,41,0.17073170731707318
NY,all-surveys,"Onondaga County-Justice Center, NY",Probably will not vote,7,25,0.28
OH,all-surveys,"Lorain County, OH ",Definitely will vote,7,28,0.25
OH,all-surveys,"Portage County, OH",Definitely will vote,7,17,0.4117647058823529
PA,all-surveys,"Lehigh County, PA",Definitely will vote,7,57,0.12280701754385964
PA,all-surveys,"Washington County, PA ",Definitely will not vote,7,43,0.16279069767441862
TX,all-surveys,"Johnson County, TX",Probably will not vote,7,37,0.1891891891891892
TX,all-surveys,"Potter County Detention, TX",Definitely will vote,7,52,0.1346153846153846
UT,all-surveys,"Beaver County, UT",Definitely will vote,7,28,0.25
VA,all-surveys,"Western Regional, VA",Definitely will vote,7,36,0.19444444444444445
WA,all-surveys,"Whatcom County, WA - Main Jail",Definitely will vote,7,23,0.30434782608695654
WA,all-surveys,"Whatcom County, WA - Main Jail",Probably will vote,7,23,0.30434782608695654
WI,all-surveys,"Rock County, WI",Probably will not vote,7,25,0.28
AL,all-surveys,"Riverside Regional, VA",Probably will not vote,6,24,0.25
AL,all-surveys,"Tuscaloosa County Jail, AL",Definitely will not vote,6,10,0.6
CA,all-surveys,"Alameda County-Santa Rita, CA",Definitely will not vote,6,34,0.17647058823529413
CA,all-surveys,"Butte County, CA",Probably will vote,6,45,0.13333333333333333
CA,all-surveys,"Madera County, CA",Definitely will not vote,6,44,0.13636363636363635
CA,all-surveys,"Yuba County, CA ",Definitely will vote,6,12,0.5
CO,all-surveys,"Douglas Detention Center, CO",Definitely will not vote,6,33,0.18181818181818182
FL,all-surveys,"Escambia County Jail, FL",Probably will vote,6,33,0.18181818181818182
FL,all-surveys,"Lee County, FL",Probably will not vote,6,36,0.16666666666666666
FL,all-surveys,"Nassau County, FL",Probably will vote,6,18,0.3333333333333333
GA,all-surveys,"Catoosa County Jail, GA",Probably will not vote,6,15,0.4
GA,all-surveys,"Columbia County Detention Center, GA",Probably will not vote,6,21,0.2857142857142857
GA,all-surveys,"Dekalb County Jail, GA",Definitely will vote,6,33,0.18181818181818182
GA,all-surveys,"Dekalb County Jail, GA",Probably will vote,6,33,0.18181818181818182
IA,all-surveys,"Polk County, IA ",Definitely will not vote,6,30,0.2
IA,all-surveys,"Polk County, IA ",Definitely will vote,6,30,0.2
IL,all-surveys,"Madison County, IL",Probably will not vote,6,16,0.375
IN,all-surveys,"Boone County, IN",Probably will not vote,6,23,0.2608695652173913
KS,all-surveys,"Douglas County, KS",Definitely will not vote,6,21,0.2857142857142857
KS,all-surveys,"Douglas County, KS",Probably will not vote,6,21,0.2857142857142857
KS,all-surveys,"Douglas County, KS",Probably will vote,6,21,0.2857142857142857
KY,all-surveys,"Clay County Detention Center, KY",Definitely will not vote,6,12,0.5
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",Probably will vote,6,27,0.2222222222222222
MA,all-surveys,"Barnstable County Correctional Facility, MA",Probably will vote,6,23,0.2608695652173913
MA,all-surveys,"Berkshire County House of Corrections, MA",Definitely will not vote,6,20,0.3
MA,all-surveys,"Berkshire County House of Corrections, MA",Probably will not vote,6,20,0.3
MA,all-surveys,"Berkshire County House of Corrections, MA",Probably will vote,6,20,0.3
MI,all-surveys,"Genesee County, MI",Probably will not vote,6,21,0.2857142857142857
MT,all-surveys,"Missoula County, MT",Definitely will vote,6,21,0.2857142857142857
NE,all-surveys,"Lancaster County, NE",Probably will vote,6,38,0.15789473684210525
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Definitely will not vote,6,25,0.24
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Definitely will vote,6,25,0.24
NJ,all-surveys,"Camden County Department of Corrections, NJ",Definitely will vote,6,18,0.3333333333333333
NJ,all-surveys,"Camden County Department of Corrections, NJ",Probably will vote,6,18,0.3333333333333333
NJ,all-surveys,"Cumberland County Jail, NJ",Probably will not vote,6,15,0.4
NJ,all-surveys,"Ocean County, NJ",Definitely will vote,6,16,0.375
NJ,all-surveys,"Ocean County, NJ",Probably will vote,6,16,0.375
NM,all-surveys,"Curry County Detention Center, NM",Probably will not vote,6,12,0.5
NM,all-surveys,"Luna County Detention Center, NM",Probably will not vote,6,25,0.24
NY,all-surveys,"Onondaga County, NY",Probably will not vote,6,15,0.4
NY,all-surveys,"Onondaga County-Justice Center, NY",Probably will vote,6,25,0.24
NY,all-surveys,"Saratoga County Correctional Facility, NY",Probably will vote,6,11,0.5454545454545454
OH,all-surveys,"Columbiana County Jail, OH",Definitely will not vote,6,16,0.375
OH,all-surveys,"Columbiana County Jail, OH",Probably will not vote,6,16,0.375
OH,all-surveys,"Greene County, OH: Adult Detention",Probably will not vote,6,19,0.3157894736842105
OH,all-surveys,"Greene County, OH: Adult Detention",Probably will vote,6,19,0.3157894736842105
OH,all-surveys,"Summit County, OH",Definitely will vote,6,29,0.20689655172413793
OH,all-surveys,"Summit County, OH",Probably will vote,6,29,0.20689655172413793
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Probably will not vote,6,15,0.4
PA,all-surveys,"Allegheny County Jail, PA",Definitely will vote,6,16,0.375
PA,all-surveys,"Berks County Jail, PA",Probably will vote,6,49,0.12244897959183673
PA,all-surveys,"Cambria County Prison, PA",Definitely will vote,6,17,0.35294117647058826
PA,all-surveys,"Columbia County, PA",Definitely will not vote,6,17,0.35294117647058826
PA,all-surveys,"Cumberland County Prison, PA",Probably will not vote,6,13,0.46153846153846156
PA,all-surveys,"Delaware County, PA",Definitely will vote,6,25,0.24
PA,all-surveys,"Delaware County, PA",Probably will not vote,6,25,0.24
PA,all-surveys,"Fayette County, PA",Definitely will vote,6,27,0.2222222222222222
PA,all-surveys,"Fayette County, PA",Probably will vote,6,27,0.2222222222222222
PA,all-surveys,"Franklin County, PA",Probably will vote,6,25,0.24
PA,all-surveys,"Indiana County, PA",Definitely will not vote,6,15,0.4
SC,all-surveys,"Clarendon County, SC",Definitely will vote,6,12,0.5
SC,all-surveys,"Richland County Glenn Detention Center, SC",Probably will vote,6,24,0.25
TX,all-surveys,"Johnson County, TX",Probably will vote,6,37,0.16216216216216217
UT,all-surveys,"Beaver County, UT",Definitely will not vote,6,28,0.21428571428571427
UT,all-surveys,"Iron County, UT",Probably will not vote,6,15,0.4
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Definitely will not vote,6,13,0.46153846153846156
VA,all-surveys,"Pamunkey Regional Jail, VA",Probably will vote,6,38,0.15789473684210525
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Definitely will vote,6,42,0.14285714285714285
WI,all-surveys,"Rock County, WI",Probably will vote,6,25,0.24
WI,all-surveys,"Winnebago County, WI",Definitely will not vote,6,11,0.5454545454545454
