state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
WI,all-surveys,"Dodge County, WI",Independent,12,34,0.35294117647058826
WV,all-surveys,WV DCR Southwestern Regional Jail,Republican,12,47,0.2553191489361702
WV,all-surveys,WV DCR Western Regional Jail,Independent,12,40,0.3
WV,all-surveys,WV DCR Western Regional Jail,Republican,12,40,0.3
AL,all-surveys,"Riverside Regional, VA",Independent,11,36,0.3055555555555556
CA,all-surveys,"Alameda County-Santa Rita, CA",Democrat,11,41,0.2682926829268293
FL,all-surveys,"Pinellas County Jail, FL",Democrat,11,90,0.12222222222222222
FL,all-surveys,"Sarasota County, FL",Republican,11,64,0.171875
FL,all-surveys,"St. Lucie County Jail, FL",Independent,11,27,0.4074074074074074
IL,all-surveys,"Cook County, IL","Democrat, Other",11,572,0.019230769230769232
IL,all-surveys,"Winnebago County, IL","Independent, Other",11,156,0.07051282051282051
IN,all-surveys,"Boone County, IN",Republican,11,29,0.3793103448275862
MA,all-surveys,"Norfolk County Jail, MA",Independent,11,29,0.3793103448275862
MA,all-surveys,"Suffolk County Jail, MA",Other,11,70,0.15714285714285714
MT,all-surveys,"Missoula County, MT",Republican,11,22,0.5
NC,all-surveys,"Onslow County Jail, NC",Independent,11,34,0.3235294117647059
NJ,all-surveys,"Bergen County, NJ",Democrat,11,50,0.22
NM,all-surveys,"Chaves County Adult Detention Center, NM",Independent,11,33,0.3333333333333333
NM,all-surveys,"Luna County Detention Center, NM",Republican,11,37,0.2972972972972973
NY,all-surveys,"Albany County Correctional Facility, NY",Democrat,11,87,0.12643678160919541
NY,all-surveys,"Erie County, NY",Republican,11,57,0.19298245614035087
OH,all-surveys,Corrections Center of NW Ohio,Democrat,11,44,0.25
OH,all-surveys,"Lorain County, OH ",Democrat,11,46,0.2391304347826087
PA,all-surveys,"Cumberland County Prison, PA",Independent,11,25,0.44
PA,all-surveys,"Delaware County, PA",Democrat,11,37,0.2972972972972973
PA,all-surveys,"Fayette County, PA",Independent,11,36,0.3055555555555556
TN,all-surveys,"Davidson County Detention Center, TN",Other,11,119,0.09243697478991597
TX,all-surveys,"Guadalupe County, TX",Democrat,11,76,0.14473684210526316
TX,all-surveys,"McLennan County, TX",Democrat,11,80,0.1375
VA,all-surveys,"Chesapeake Correctional Center, VA",Other,11,72,0.1527777777777778
VA,all-surveys,"Henrico County Sheriff's Office, VA",Independent,11,23,0.4782608695652174
WA,all-surveys,"Spokane County Jail, WA",Other,11,80,0.1375
WI,all-surveys,"Brown County Jail, WI",Other,11,71,0.15492957746478872
WV,all-surveys,WV DCR North Central Regional Jail,Other,11,115,0.09565217391304348
AL,all-surveys,"Tuscaloosa County Jail, AL",Republican,10,36,0.2777777777777778
AZ,all-surveys,"Apache County Jail, AZ",Independent,10,24,0.4166666666666667
AZ,all-surveys,"Pinal County Jail, AZ",Democrat,10,50,0.2
CA,all-surveys,"Sacramento County Sheriff's Office, CA","Independent, Other",10,297,0.03367003367003367
CA,all-surveys,"Sonoma County, CA",Independent,10,41,0.24390243902439024
CO,all-surveys,"Pueblo County, CO",Republican,10,95,0.10526315789473684
DC,all-surveys,DC DOC: Central Detention Facility,Other,10,81,0.12345679012345678
FL,all-surveys,"Escambia County Jail, FL",Other,10,53,0.18867924528301888
FL,all-surveys,"Monroe County-Key West, FL",Republican,10,26,0.38461538461538464
GA,all-surveys,"Bibb County Jail, GA",Republican,10,48,0.20833333333333334
IL,all-surveys,"DuPage County Jail, IL",Democrat,10,30,0.3333333333333333
IL,all-surveys,"Kane County, IL",Republican,10,68,0.14705882352941177
KY,all-surveys,"Madison County, KY",Independent,10,27,0.37037037037037035
MA,all-surveys,"Plymouth County Correctional Facility, MA",Democrat,10,39,0.2564102564102564
MA,all-surveys,"Worcester County Jail, MA",Other,10,57,0.17543859649122806
MA,all-surveys,"Worcester County Jail, MA",Republican,10,57,0.17543859649122806
MD,all-surveys,"Washington County Detention Center, MD",Independent,10,36,0.2777777777777778
MI,all-surveys,"Kalamazoo County, MI",Independent,10,25,0.4
MI,all-surveys,"Livingston County, MI",Independent,10,32,0.3125
MI,all-surveys,"Macomb County, MI",Republican,10,55,0.18181818181818182
NC,all-surveys,"Cumberland County, NC",Democrat,10,84,0.11904761904761904
NC,all-surveys,Durham County NC - Detention Facility,Independent,10,25,0.4
NJ,all-surveys,"Cumberland County Jail, NJ",Independent,10,23,0.43478260869565216
NM,all-surveys,"Luna County Detention Center, NM",Independent,10,37,0.2702702702702703
NY,all-surveys,"Niagara County Correctional Facility, NY",Other,10,48,0.20833333333333334
NY,all-surveys,"Onondaga County-Justice Center, NY",Democrat,10,39,0.2564102564102564
OH,all-surveys,"Muskingum County, OH",Other,10,29,0.3448275862068966
OH,all-surveys,"Portage County, OH",Republican,10,31,0.3225806451612903
OR,all-surveys,"Lincoln County, OR",Other,10,38,0.2631578947368421
PA,all-surveys,"Berks County Jail, PA",Democrat,10,58,0.1724137931034483
PA,all-surveys,"Cambria County Prison, PA",Republican,10,42,0.23809523809523808
PA,all-surveys,"Delaware County, PA",Independent,10,37,0.2702702702702703
SC,all-surveys,"Richland County Glenn Detention Center, SC",Republican,10,56,0.17857142857142858
TN,all-surveys,"Hamilton County, TN",Democrat,10,46,0.21739130434782608
TX,all-surveys,"Johnson County, TX",Other,10,50,0.2
TX,all-surveys,"Wichita County, TX ",Independent,10,34,0.29411764705882354
UT,all-surveys,"Beaver County, UT",Other,10,40,0.25
UT,all-surveys,"Beaver County, UT",Republican,10,40,0.25
UT,all-surveys,"Salt Lake City County, UT",Democrat,10,66,0.15151515151515152
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Independent,10,26,0.38461538461538464
VA,all-surveys,"Chesapeake Correctional Center, VA",Democrat,10,72,0.1388888888888889
VA,all-surveys,"Pamunkey Regional Jail, VA",Other,10,58,0.1724137931034483
WI,all-surveys,"Rock County, WI",Independent,10,37,0.2702702702702703
WI,all-surveys,"Rock County, WI",Other,10,37,0.2702702702702703
WV,all-surveys,WV DCR Central Regional Jail,Republican,10,41,0.24390243902439024
WV,all-surveys,WV DCR Southern Regional Jail,Independent,10,27,0.37037037037037035
WV,all-surveys,WV DCR Western Regional Jail,Other,10,40,0.25
AL,all-surveys,"Riverside Regional, VA",Other,9,36,0.25
AL,all-surveys,"Riverside Regional, VA",Republican,9,36,0.25
AL,all-surveys,"Tuscaloosa County Jail, AL",Independent,9,36,0.25
AL,all-surveys,"Tuscaloosa County Jail, AL",Other,9,36,0.25
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Other, Republican",9,872,0.010321100917431193
AZ,all-surveys,"Pinal County Jail, AZ",Republican,9,50,0.18
CA,all-surveys,"Lassen County, CA",Republican,9,17,0.5294117647058824
CO,all-surveys,"Larimer County, CO",Republican,9,46,0.1956521739130435
FL,all-surveys,"Lee County, FL",Democrat,9,57,0.15789473684210525
FL,all-surveys,"St. Lucie County Jail, FL",Republican,9,27,0.3333333333333333
IA,all-surveys,"Polk County, IA ",Democrat,9,46,0.1956521739130435
IL,all-surveys,"DuPage County Jail, IL",Independent,9,30,0.3
IN,all-surveys,"Elkhart County Jail, IN",Democrat,9,55,0.16363636363636364
IN,all-surveys,"Kosciusko County, IN",Republican,9,18,0.5
MA,all-surveys,"Berkshire County House of Corrections, MA",Independent,9,24,0.375
MA,all-surveys,"Bristol County House of Correction, MA",Other,9,56,0.16071428571428573
MA,all-surveys,"Hampshire County, MA",Independent,9,27,0.3333333333333333
MA,all-surveys,"Norfolk County Jail, MA",Republican,9,29,0.3103448275862069
MD,all-surveys,"Washington County Detention Center, MD",Other,9,36,0.25
MD,all-surveys,"Washington County Detention Center, MD",Republican,9,36,0.25
ME,all-surveys,"Cumberland County Jail, ME",Independent,9,15,0.6
MI,all-surveys,"Livingston County, MI",Republican,9,32,0.28125
MI,all-surveys,"Macomb County, MI",Democrat,9,55,0.16363636363636364
MI,all-surveys,"Washtenaw County Jail, MI",Independent,9,23,0.391304347826087
NC,all-surveys,"New Hanover County Detention Center, NC",Democrat,9,22,0.4090909090909091
NC,all-surveys,"Onslow County Jail, NC",Republican,9,34,0.2647058823529412
NJ,all-surveys,"Bergen County, NJ",Republican,9,50,0.18
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Other,9,44,0.20454545454545456
NJ,all-surveys,"Camden County Department of Corrections, NJ",Independent,9,24,0.375
NJ,all-surveys,"Ocean County, NJ",Republican,9,23,0.391304347826087
NM,all-surveys,"Lea County Sheriff's Office, NM",Republican,9,35,0.2571428571428571
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Democrat,9,35,0.2571428571428571
NY,all-surveys,"Ulster County Jail, NY",Independent,9,19,0.47368421052631576
OH,all-surveys,"Ashland County, OH ",Independent,9,17,0.5294117647058824
OH,all-surveys,"Fairfield County, OH",Independent,9,15,0.6
OH,all-surveys,"Lorain County, OH ",Other,9,46,0.1956521739130435
OH,all-surveys,"Lorain County, OH ",Republican,9,46,0.1956521739130435
OR,all-surveys,"Lincoln County, OR",Republican,9,38,0.23684210526315788
PA,all-surveys,"Fayette County, PA",Republican,9,36,0.25
PA,all-surveys,"Lebanon County, PA",Other,9,65,0.13846153846153847
PA,all-surveys,"Washington County, PA ",Democrat,9,61,0.14754098360655737
PA,all-surveys,"Washington County, PA ",Other,9,61,0.14754098360655737
SC,all-surveys,"Pickens County Detention Facility, SC",Independent,9,28,0.32142857142857145
TX,all-surveys,"Hunt County, TX",Independent,9,24,0.375
TX,all-surveys,"McLennan County, TX",Other,9,80,0.1125
TX,all-surveys,"Potter County Detention, TX",Democrat,9,77,0.11688311688311688
VA,all-surveys,"Rappahannock Regional Jail, VA",Republican,9,75,0.12
WA,all-surveys,"King County Adult Detention, WA",Republican,9,62,0.14516129032258066
WA,all-surveys,"Spokane County Jail, WA",Democrat,9,80,0.1125
WA,all-surveys,"Whatcom County, WA - Main Jail",Republican,9,48,0.1875
WI,all-surveys,"Rock County, WI",Democrat,9,37,0.24324324324324326
WI,all-surveys,"Sheboygan County Jail, WI",Republican,9,30,0.3
WV,all-surveys,WV DCR South Central Regional Jail,Republican,9,35,0.2571428571428571
AL,all-surveys,"Etowah County Jail, AL",Democrat,8,54,0.14814814814814814
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Democrat, Republican",8,872,0.009174311926605505
CA,all-surveys,"Alameda County-Santa Rita, CA",Other,8,41,0.1951219512195122
CA,all-surveys,"Stanislaus County, CA","Independent, Other",8,171,0.04678362573099415
CA,all-surveys,"Yuba County, CA ",Independent,8,18,0.4444444444444444
CO,all-surveys,"Jefferson County Detention Facility, CO",Other,8,75,0.10666666666666667
FL,all-surveys,"Bay County, FL",Democrat,8,35,0.22857142857142856
FL,all-surveys,"Bay County, FL",Independent,8,35,0.22857142857142856
FL,all-surveys,"Lake County Detention Center, FL",Democrat,8,29,0.27586206896551724
FL,all-surveys,"Lake County Detention Center, FL",Republican,8,29,0.27586206896551724
FL,all-surveys,Santa Rosa County FL,Other,8,60,0.13333333333333333
GA,all-surveys,"Athens Clarke County Jail, GA",Other,8,66,0.12121212121212122
GA,all-surveys,"Catoosa County Jail, GA",Independent,8,21,0.38095238095238093
GA,all-surveys,"Cobb County, GA",Republican,8,59,0.13559322033898305
GA,all-surveys,"Columbia County Detention Center, GA",Independent,8,29,0.27586206896551724
GA,all-surveys,"Forsyth County Detention Center, GA",Republican,8,21,0.38095238095238093
ID,all-surveys,"Bonneville County, ID",Independent,8,19,0.42105263157894735
IL,all-surveys,"Kane County, IL",Other,8,68,0.11764705882352941
IL,all-surveys,"Vermilion County Jail, IL",Independent,8,18,0.4444444444444444
IN,all-surveys,"Boone County, IN",Democrat,8,29,0.27586206896551724
IN,all-surveys,"Floyd County Jail, IN",Republican,8,25,0.32
IN,all-surveys,"La Port County Jail, IN",Republican,8,37,0.21621621621621623
KS,all-surveys,"Shawnee County Detention Center, KS",Other,8,38,0.21052631578947367
MA,all-surveys,"Middlesex County House of Corrections, MA",Democrat,8,66,0.12121212121212122
MA,all-surveys,"Middlesex County House of Corrections, MA",Other,8,66,0.12121212121212122
ME,all-surveys,"Two Bridges Regional, ME",Independent,8,24,0.3333333333333333
MI,all-surveys,"Washtenaw County Jail, MI",Democrat,8,23,0.34782608695652173
MT,all-surveys,"Missoula County, MT",Independent,8,22,0.36363636363636365
NC,all-surveys,"Craven County Jail, NC",Democrat,8,33,0.24242424242424243
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Other,8,91,0.08791208791208792
NJ,all-surveys,"Hudson County Corrections Center, NJ",Republican,8,32,0.25
NJ,all-surveys,"Mercer County Correction Center, NJ",Independent,8,16,0.5
NJ,all-surveys,"Ocean County, NJ",Independent,8,23,0.34782608695652173
NM,all-surveys,"Chaves County Adult Detention Center, NM",Other,8,33,0.24242424242424243
NM,all-surveys,"Curry County Detention Center, NM",Independent,8,27,0.2962962962962963
NM,all-surveys,"Curry County Detention Center, NM",Other,8,27,0.2962962962962963
NY,all-surveys,"Erie County, NY",Other,8,57,0.14035087719298245
NY,all-surveys,"New York City Department of Correction, NY (NYC DOC)",Republican,8,67,0.11940298507462686
NY,all-surveys,"Oneida County Correctional Facility, NY",Independent,8,21,0.38095238095238093
NY,all-surveys,"Onondaga County, NY",Independent,8,21,0.38095238095238093
NY,all-surveys,"Onondaga County-Justice Center, NY",Republican,8,39,0.20512820512820512
NY,all-surveys,"Suffolk County, NY ",Other,8,71,0.11267605633802817
OH,all-surveys,"Columbiana County Jail, OH",Independent,8,18,0.4444444444444444
OH,all-surveys,"Medina County Jail, OH",Independent,8,21,0.38095238095238093
OH,all-surveys,"Muskingum County, OH",Independent,8,29,0.27586206896551724
OH,all-surveys,"Portage County, OH",Independent,8,31,0.25806451612903225
OH,all-surveys,"Summit County, OH",Other,8,49,0.16326530612244897
PA,all-surveys,"Indiana County, PA",Republican,8,19,0.42105263157894735
PA,all-surveys,"Lancaster County Prison, PA",Other,8,59,0.13559322033898305
PA,all-surveys,"Northampton County Prison, PA",Independent,8,20,0.4
SC,all-surveys,"Clarendon County, SC",Independent,8,21,0.38095238095238093
SC,all-surveys,"Sumter County Detention Center, SC",Independent,8,13,0.6153846153846154
TN,all-surveys,"McMinn County Justice Center, TN",Democrat,8,23,0.34782608695652173
TN,all-surveys,"Warren County Jail, TN",Independent,8,27,0.2962962962962963
TX,all-surveys,"GEO Group-Kinney County, TX",Republican,8,23,0.34782608695652173
TX,all-surveys,"Guadalupe County, TX",Other,8,76,0.10526315789473684
UT,all-surveys,"Weber County Correctional Facility, UT",Independent,8,21,0.38095238095238093
VA,all-surveys,"Norfolk City Jail, VA",Independent,8,17,0.47058823529411764
VA,all-surveys,"Pamunkey Regional Jail, VA",Democrat,8,58,0.13793103448275862
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Other,8,63,0.12698412698412698
WA,all-surveys,"Yakima County, WA","Independent, Other",8,110,0.07272727272727272
WI,all-surveys,"Sheboygan County Jail, WI",Independent,8,30,0.26666666666666666
WI,all-surveys,"Sheboygan County Jail, WI",Other,8,30,0.26666666666666666
CA,all-surveys,"Fresno County, CA","Democrat, Independent",7,224,0.03125
CA,all-surveys,"Tehama County, CA",Republican,7,21,0.3333333333333333
FL,all-surveys,"Lake County Detention Center, FL",Independent,7,29,0.2413793103448276
FL,all-surveys,"Lee County, FL",Other,7,57,0.12280701754385964
FL,all-surveys,"Monroe County-Key West, FL",Independent,7,26,0.2692307692307692
FL,all-surveys,"Nassau County, FL",Republican,7,30,0.23333333333333334
FL,all-surveys,Santa Rosa County FL,Democrat,7,60,0.11666666666666667
GA,all-surveys,"Columbia County Detention Center, GA",Republican,7,29,0.2413793103448276
GA,all-surveys,"Dekalb County Jail, GA",Democrat,7,36,0.19444444444444445
GA,all-surveys,"Forsyth County Detention Center, GA",Independent,7,21,0.3333333333333333
IN,all-surveys,"Floyd County Jail, IN",Independent,7,25,0.28
IN,all-surveys,"La Port County Jail, IN",Other,7,37,0.1891891891891892
KS,all-surveys,"Butler County Corrections, KS",Independent,7,15,0.4666666666666667
KS,all-surveys,"Douglas County, KS",Republican,7,32,0.21875
KS,all-surveys,"Shawnee County Detention Center, KS",Democrat,7,38,0.18421052631578946
KS,all-surveys,"Wyandotte County Detention Facility, KS",Independent,7,14,0.5
MA,all-surveys,"Hampshire County, MA",Democrat,7,27,0.25925925925925924
MA,all-surveys,"Worcester County Jail, MA",Democrat,7,57,0.12280701754385964
MD,all-surveys,"Anne Arundel County, MD",Democrat,7,19,0.3684210526315789
MI,all-surveys,"Genesee County, MI",Independent,7,35,0.2
MT,all-surveys,"Cascade County, MT",Independent,7,13,0.5384615384615384
NC,all-surveys,Durham County NC - Detention Facility,Republican,7,25,0.28
NC,all-surveys,"New Hanover County Detention Center, NC",Independent,7,22,0.3181818181818182
NC,all-surveys,"Onslow County Jail, NC",Democrat,7,34,0.20588235294117646
NC,all-surveys,"Onslow County Jail, NC",Other,7,34,0.20588235294117646
NJ,all-surveys,"Bergen County, NJ",Other,7,50,0.14
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Republican,7,44,0.1590909090909091
NJ,all-surveys,"Essex County Correctional Facility, NJ",Republican,7,65,0.1076923076923077
NM,all-surveys,"Sandoval County Detention Center, NM",Independent,7,15,0.4666666666666667
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Republican,7,35,0.2
NY,all-surveys,"Broome County Public Safety Facility, NY",Republican,7,19,0.3684210526315789
NY,all-surveys,"Chautauqua County, NY",Other,7,38,0.18421052631578946
NY,all-surveys,"Niagara County Correctional Facility, NY",Democrat,7,48,0.14583333333333334
NY,all-surveys,"Oneida County Correctional Facility, NY",Republican,7,21,0.3333333333333333
OH,all-surveys,"Muskingum County, OH",Republican,7,29,0.2413793103448276
PA,all-surveys,"Bucks County Correctional Facility, PA",Democrat,7,23,0.30434782608695654
PA,all-surveys,"Bucks County Correctional Facility, PA",Independent,7,23,0.30434782608695654
PA,all-surveys,"Cambria County Prison, PA",Other,7,42,0.16666666666666666
PA,all-surveys,"Chester County Prison, PA",Republican,7,31,0.22580645161290322
PA,all-surveys,"Columbia County, PA",Republican,7,23,0.30434782608695654
PA,all-surveys,"Delaware County, PA",Other,7,37,0.1891891891891892
PA,all-surveys,"Delaware County, PA",Republican,7,37,0.1891891891891892
PA,all-surveys,"Fayette County, PA",Other,7,36,0.19444444444444445
PA,all-surveys,"Venango County Prison, PA",Republican,7,16,0.4375
PA,all-surveys,"York County, PA",Independent,7,18,0.3888888888888889
SC,all-surveys,"Richland County Glenn Detention Center, SC",Democrat,7,56,0.125
SC,all-surveys,"Richland County Glenn Detention Center, SC",Other,7,56,0.125
TN,all-surveys,"McMinn County Justice Center, TN",Republican,7,23,0.30434782608695654
TN,all-surveys,"Warren County Jail, TN",Republican,7,27,0.25925925925925924
TX,all-surveys,"GEO Group-Kinney County, TX",Independent,7,23,0.30434782608695654
TX,all-surveys,"Wichita County, TX ",Democrat,7,34,0.20588235294117646
UT,all-surveys,"Weber County Correctional Facility, UT",Republican,7,21,0.3333333333333333
VA,all-surveys,"Botetourt Craig Public Safety Facility, VA",Independent,7,16,0.4375
VA,all-surveys,"Meherrin River Alberta, VA",Democrat,7,24,0.2916666666666667
VA,all-surveys,"Meherrin River Alberta, VA",Independent,7,24,0.2916666666666667
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Republican,7,16,0.4375
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Democrat,7,63,0.1111111111111111
VA,all-surveys,"Western Regional, VA",Democrat,7,53,0.1320754716981132
WA,all-surveys,"Whatcom County, WA - Main Jail",Other,7,48,0.14583333333333334
WI,all-surveys,"Dodge County, WI",Democrat,7,34,0.20588235294117646
WI,all-surveys,"La Crosse County Jail, WI",Other,7,12,0.5833333333333334
WV,all-surveys,WV DCR Central Regional Jail,Other,7,41,0.17073170731707318
WV,all-surveys,WV DCR Eastern Regional Jail,Independent,7,20,0.35
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,Independent,7,18,0.3888888888888889
WV,all-surveys,WV DCR Southern Regional Jail,Republican,7,27,0.25925925925925924
WV,all-surveys,WV DCR Tygart Valley Regional Jail,Other,7,59,0.11864406779661017
AL,all-surveys,"Etowah County Jail, AL",Other,6,54,0.1111111111111111
AL,all-surveys,"Montgomery County, AL",Democrat,6,27,0.2222222222222222
AZ,all-surveys,"Yavapai County Jail, AZ",Republican,6,35,0.17142857142857143
CA,all-surveys,"Fresno County, CA","Independent, Other",6,224,0.026785714285714284
CA,all-surveys,"Fresno County, CA","Independent, Republican",6,224,0.026785714285714284
CA,all-surveys,"Tulare County, CA-Bob Wiley Detention ",Independent,6,12,0.5
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Independent,6,17,0.35294117647058826
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Republican,6,17,0.35294117647058826
CO,all-surveys,"Douglas Detention Center, CO",Democrat,6,41,0.14634146341463414
CO,all-surveys,"Douglas Detention Center, CO",Other,6,41,0.14634146341463414
FL,all-surveys,"Bay County, FL",Other,6,35,0.17142857142857143
FL,all-surveys,"Citrus County Detention Facility, FL",Republican,6,29,0.20689655172413793
FL,all-surveys,"Escambia County Jail, FL",Democrat,6,53,0.11320754716981132
FL,all-surveys,"Lake County Detention Center, FL",Other,6,29,0.20689655172413793
FL,all-surveys,"St. Lucie County Jail, FL",Other,6,27,0.2222222222222222
FL,all-surveys,"Walton County Jail, FL",Republican,6,13,0.46153846153846156
GA,all-surveys,"Catoosa County Jail, GA",Republican,6,21,0.2857142857142857
GA,all-surveys,"Columbia County Detention Center, GA",Democrat,6,29,0.20689655172413793
GA,all-surveys,"Columbia County Detention Center, GA",Other,6,29,0.20689655172413793
IL,all-surveys,"Cook County, IL","Democrat, Republican",6,572,0.01048951048951049
IL,all-surveys,"Cook County, IL","Other, Republican",6,572,0.01048951048951049
IL,all-surveys,"DuPage County Jail, IL",Other,6,30,0.2
IL,all-surveys,"Madison County, IL",Independent,6,19,0.3157894736842105
IL,all-surveys,"Vermilion County Jail, IL",Republican,6,18,0.3333333333333333
IN,all-surveys,"Elkhart County Jail, IN",Other,6,55,0.10909090909090909
IN,all-surveys,"La Port County Jail, IN",Democrat,6,37,0.16216216216216217
KS,all-surveys,"Butler County Corrections, KS",Republican,6,15,0.4
MA,all-surveys,"Barnstable County Correctional Facility, MA",Democrat,6,29,0.20689655172413793
MA,all-surveys,"Barnstable County Correctional Facility, MA",Republican,6,29,0.20689655172413793
MA,all-surveys,"Berkshire County House of Corrections, MA",Other,6,24,0.25
MA,all-surveys,"Hampshire County, MA",Republican,6,27,0.2222222222222222
MA,all-surveys,"Suffolk County Jail, MA",Republican,6,70,0.08571428571428572
MD,all-surveys,"Anne Arundel County, MD",Republican,6,19,0.3157894736842105
MD,all-surveys,"Prince Georges County DOC, MD",Independent,6,16,0.375
ME,all-surveys,"Two Bridges Regional, ME",Republican,6,24,0.25
MI,all-surveys,"Genesee County, MI",Democrat,6,35,0.17142857142857143
MI,all-surveys,"Genesee County, MI",Republican,6,35,0.17142857142857143
MI,all-surveys,"Kalamazoo County, MI",Other,6,25,0.24
MS,all-surveys,"Madison County Detention Center, MS",Democrat,6,17,0.35294117647058826
NC,all-surveys,"Brunswick County Jail, NC",Independent,6,12,0.5
NC,all-surveys,"Craven County Jail, NC",Other,6,33,0.18181818181818182
NE,all-surveys,"Sarpy County Jail, NE",Independent,6,13,0.46153846153846156
NJ,all-surveys,"Hudson County Corrections Center, NJ",Democrat,6,32,0.1875
NJ,all-surveys,Middlesex County NJ: Adult Correctional,Other,6,15,0.4
NV,all-surveys,"Elko County, NV",Independent,6,11,0.5454545454545454
NY,all-surveys,"Broome County Public Safety Facility, NY",Democrat,6,19,0.3157894736842105
NY,all-surveys,"Chautauqua County, NY",Democrat,6,38,0.15789473684210525
NY,all-surveys,"Chautauqua County, NY",Republican,6,38,0.15789473684210525
NY,all-surveys,"Delaware County Correctional Facility, NY",Independent,6,19,0.3157894736842105
NY,all-surveys,"Onondaga County, NY",Democrat,6,21,0.2857142857142857
OH,all-surveys,"Cuyahoga County Justice Center, OH","Independent, Republican",6,236,0.025423728813559324
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Independent,6,16,0.375
PA,all-surveys,"Berks County Jail, PA",Other,6,58,0.10344827586206896
PA,all-surveys,"Cambria County Prison, PA",Democrat,6,42,0.14285714285714285
PA,all-surveys,"Chester County Prison, PA",Democrat,6,31,0.1935483870967742
PA,all-surveys,"Columbia County, PA",Independent,6,23,0.2608695652173913
PA,all-surveys,"Fayette County, PA",Democrat,6,36,0.16666666666666666
PA,all-surveys,"Franklin County, PA",Republican,6,33,0.18181818181818182
PA,all-surveys,"Huntingdon County Prison, PA",Republican,6,7,0.8571428571428571
PA,all-surveys,"Venango County Prison, PA",Independent,6,16,0.375
SC,all-surveys,"Aiken County, SC",Republican,6,19,0.3157894736842105
SC,all-surveys,"Chester County, SC",Independent,6,12,0.5
SC,all-surveys,"Clarendon County, SC",Democrat,6,21,0.2857142857142857
TN,all-surveys,"Warren County Jail, TN",Democrat,6,27,0.2222222222222222
TX,all-surveys,"Collin County, TX ",Other,6,69,0.08695652173913043
TX,all-surveys,"Fannin County Jail, TX",Independent,6,12,0.5
UT,all-surveys,"Iron County, UT",Independent,6,19,0.3157894736842105
UT,all-surveys,"Iron County, UT",Other,6,19,0.3157894736842105
UT,all-surveys,"Iron County, UT",Republican,6,19,0.3157894736842105
VA,all-surveys,"Arlington County Detention Center, VA",Republican,6,32,0.1875
VA,all-surveys,"Henrico County Sheriff's Office, VA",Republican,6,23,0.2608695652173913
VA,all-surveys,"Middle Peninsula Regional Jail, VA",Independent,6,16,0.375
WA,all-surveys,"Whatcom County, WA - Main Jail",Democrat,6,48,0.125
WI,all-surveys,"Dodge County, WI",Republican,6,34,0.17647058823529413
WI,all-surveys,"Ozaukee County, WI",Independent,6,13,0.46153846153846156
WI,all-surveys,"Rock County, WI",Republican,6,37,0.16216216216216217
WV,all-surveys,WV DCR Eastern Regional Jail,Republican,6,20,0.3
WV,all-surveys,WV DCR Southwestern Regional Jail,Other,6,47,0.1276595744680851
