state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
CO,all-surveys,"Jefferson County Detention Facility, CO",Independent,29,75,0.38666666666666666
MA,all-surveys,"Suffolk County Jail, MA",Independent,29,70,0.4142857142857143
NY,all-surveys,"Pasco County Corrections, FL",Other,29,147,0.19727891156462585
WI,all-surveys,"Brown County Jail, WI",Independent,29,71,0.4084507042253521
CA,all-surveys,"Stanislaus County, CA",Other,28,171,0.16374269005847952
CO,all-surveys,"Denver County Jail, CO",Republican,28,148,0.1891891891891892
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Democrat,28,182,0.15384615384615385
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Other,28,182,0.15384615384615385
FL,all-surveys,"Pinellas County Jail, FL",Independent,28,90,0.3111111111111111
IN,all-surveys,"Elkhart County Jail, IN",Independent,28,55,0.509090909090909
MA,all-surveys,"Middlesex County House of Corrections, MA",Independent,28,66,0.42424242424242425
UT,all-surveys,"Salt Lake City County, UT",Independent,28,66,0.42424242424242425
CA,all-surveys,"Madera County, CA",Republican,27,95,0.28421052631578947
MI,all-surveys,"Macomb County, MI",Independent,27,55,0.4909090909090909
NC,all-surveys,"Cumberland County, NC",Independent,27,84,0.32142857142857145
NE,all-surveys,"Lancaster County, NE",Independent,27,76,0.35526315789473684
NJ,all-surveys,"Essex County Correctional Facility, NJ",Independent,27,65,0.4153846153846154
SC,all-surveys,"Richland County Glenn Detention Center, SC",Independent,27,56,0.48214285714285715
TX,all-surveys,"Collin County, TX ",Independent,27,69,0.391304347826087
TX,all-surveys,"MTC: Giles Dalby, TX",Democrat,27,130,0.2076923076923077
VA,all-surveys,"Chesapeake Correctional Center, VA",Independent,27,72,0.375
CA,all-surveys,"Orange County, CA - Central Jail Complex",Republican,26,102,0.2549019607843137
CO,all-surveys,"Denver County Jail, CO",Other,26,148,0.17567567567567569
CO,all-surveys,"Pueblo County, CO",Democrat,26,95,0.2736842105263158
CO,all-surveys,"Weld County, CO",Republican,26,130,0.2
MA,all-surveys,"Essex County Middleton HOC, MA",Independent,26,68,0.38235294117647056
MA,all-surveys,"Worcester County Jail, MA",Independent,26,57,0.45614035087719296
PA,all-surveys,"Lehigh County, PA",Independent,26,77,0.33766233766233766
NY,all-surveys,"Suffolk County, NY ",Independent,25,71,0.352112676056338
PA,all-surveys,"Montgomery County Correctional Facility, PA",Independent,25,93,0.26881720430107525
TX,all-surveys,"Guadalupe County, TX",Independent,25,76,0.32894736842105265
TX,all-surveys,"Guadalupe County, TX",Republican,25,76,0.32894736842105265
CA,all-surveys,"Santa Barbara County, CA",Independent,24,73,0.3287671232876712
FL,all-surveys,"Leon County Jail, FL",Republican,24,95,0.25263157894736843
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Republican,24,59,0.4067796610169492
FL,all-surveys,"Sarasota County, FL",Independent,24,64,0.375
GA,all-surveys,"Bibb County Jail, GA",Independent,24,48,0.5
IA,all-surveys,"Polk County, IA ",Independent,24,46,0.5217391304347826
PA,all-surveys,"Montgomery County Correctional Facility, PA",Republican,24,93,0.25806451612903225
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Democrat,24,108,0.2222222222222222
CA,all-surveys,"Madera County, CA",Independent,23,95,0.24210526315789474
CA,all-surveys,"San Joaquin County Jail, CA",Republican,23,93,0.24731182795698925
CO,all-surveys,"Douglas Detention Center, CO",Independent,23,41,0.5609756097560976
